evidence_type,corpus_condition,retriever,mean_mrr,hit_at_1,hit_at_3,hit_at_5,n
equation,naive,bm25,0.4306,0.3667,0.4667,0.4667,30
equation,naive,dense,0.4392,0.3333,0.5,0.5333,30
equation,naive,hybrid,0.4457,0.3333,0.5,0.5667,30
equation,structured,bm25,0.4244,0.3,0.5,0.5333,30
equation,structured,dense,0.4028,0.2667,0.4333,0.5333,30
equation,structured,hybrid,0.4832,0.3667,0.4667,0.6667,30
table,naive,bm25,0.4501,0.2857,0.6071,0.6786,28
table,naive,dense,0.5915,0.4643,0.6429,0.7857,28
table,naive,hybrid,0.5525,0.3929,0.7143,0.7143,28
table,structured,bm25,0.0908,0.0714,0.0714,0.0714,28
table,structured,dense,0.1956,0.1071,0.25,0.2857,28
table,structured,hybrid,0.1189,0.0714,0.0714,0.2143,28
text,naive,bm25,0.5171,0.4333,0.6,0.6,30
text,naive,dense,0.3573,0.2667,0.3667,0.3667,30
text,naive,hybrid,0.4058,0.2667,0.4667,0.5667,30
text,structured,bm25,0.4272,0.3333,0.5,0.5,30
text,structured,dense,0.3457,0.2667,0.3333,0.4333,30
text,structured,hybrid,0.3946,0.2667,0.3667,0.6333,30
